input,cores,run1,run2,run3
30000,192,1.19,1.35,1.80
30000,188,1.16,1.23,1.35
30000,184,1.20,1.20,1.28
30000,180,1.21,1.30,1.14
30000,176,1.20,1.16,1.17
30000,172,1.12,1.21,1.15
30000,168,0.70,0.72,0.88
30000,164,0.74,0.80,0.80
30000,160,0.65,0.70,0.80
30000,156,0.72,0.76,0.73
30000,152,1.10,1.17,0.76
30000,148,0.75,0.77,1.04
30000,144,0.75,0.77,0.65
30000,140,0.72,0.61,0.66
30000,136,0.57,0.77,1.05
30000,132,0.63,0.69,0.97
30000,128,0.97,0.97,0.92
30000,124,0.95,0.58,0.74
30000,120,1.15,0.67,0.83
30000,116,1.16,0.62,0.69
30000,112,0.91,1.00,1.17
30000,108,0.58,0.67,0.59
30000,104,1.02,0.66,0.64
30000,100,0.62,0.69,0.93
30000,96,1.01,0.98,0.95
30000,92,0.64,0.69,0.77
30000,88,0.93,0.71,0.65
30000,84,0.70,0.62,0.64
30000,80,0.76,0.74,0.80
30000,76,0.64,0.73,0.65
30000,72,0.64,0.65,0.69
30000,68,0.66,0.70,0.73
0000,64,0.74,0.69,0.77
30000,60,0.77,0.74,0.82
30000,56,0.71,0.82,0.74
30000,52,0.85,0.88,0.84
30000,48,0.83,0.83,0.80
30000,44,0.82,0.83,0.96
30000,40,0.88,0.82,0.90
30000,36,0.93,0.91,0.91
30000,32,0.93,0.93,0.97
30000,28,1.06,1.08,1.03
30000,24,1.14,1.15,1.14
30000,20,1.34,1.32,1.34
30000,16,1.61,1.62,1.66
30000,12,2.15,2.15,2.15
30000,8,3.35,3.33,3.30
30000,4,7.58,7.62,7.66
30000,2,22.04,22.05,22.03
30000,1,51.80,51.92,52.02
